iter	Passed	Remaining
0	10	3191
1	16	2489
2	24	2441
3	29	2207
4	34	2051
5	40	1963
6	45	1892
7	50	1825
8	55	1787
9	59	1719
10	64	1698
11	71	1704
12	75	1671
13	80	1638
14	85	1621
15	90	1597
16	94	1572
17	99	1553
18	104	1545
19	109	1527
20	113	1509
21	115	1458
22	120	1452
23	125	1439
24	130	1432
25	135	1431
26	140	1424
27	145	1418
28	153	1431
29	158	1422
30	162	1410
31	168	1407
32	173	1400
33	177	1390
34	183	1389
35	189	1392
36	195	1388
37	199	1378
38	204	1369
39	209	1361
40	215	1360
41	222	1367
42	228	1367
43	233	1360
44	238	1352
45	244	1347
46	249	1342
47	254	1334
48	260	1336
49	265	1329
50	270	1318
51	274	1310
52	280	1307
53	287	1307
54	292	1303
55	300	1307
56	305	1301
57	310	1295
58	315	1288
59	320	1281
60	325	1275
61	330	1268
62	335	1261
63	340	1253
64	344	1245
65	349	1237
66	354	1232
67	359	1226
68	364	1221
69	369	1215
70	375	1209
71	380	1203
72	384	1196
73	389	1190
74	394	1184
75	399	1177
76	404	1170
77	408	1163
78	413	1157
79	418	1150
80	423	1145
81	428	1139
82	431	1129
83	435	1119
84	440	1114
85	445	1108
86	450	1102
87	455	1096
88	460	1091
89	464	1084
90	469	1079
91	474	1073
92	479	1067
93	483	1060
94	489	1056
95	494	1049
96	498	1044
97	504	1039
98	508	1033
99	513	1026
100	517	1020
101	522	1014
102	527	1007
103	531	1001
104	536	997
105	541	991
106	546	985
107	551	980
108	556	974
109	560	968
110	565	962
111	569	956
112	574	950
113	579	945
114	584	940
115	588	934
116	593	928
117	597	921
118	602	915
119	606	910
120	611	904
121	616	899
122	621	893
123	625	887
124	630	882
125	634	876
126	639	870
127	644	865
128	649	860
129	654	856
130	659	850
131	664	845
132	669	840
133	673	834
134	678	829
135	683	823
136	687	818
137	692	813
138	699	810
139	703	804
140	708	799
141	714	794
142	720	791
143	725	786
144	732	782
145	737	778
146	742	773
147	747	768
148	752	762
149	757	757
150	762	752
151	768	747
152	772	742
153	778	737
154	782	732
155	787	726
156	793	723
157	799	718
158	804	713
159	810	709
160	815	703
161	819	698
162	825	693
163	830	688
164	835	683
165	842	679
166	848	675
167	853	670
168	859	666
169	864	661
170	869	655
171	876	652
172	881	647
173	886	641
174	893	637
175	898	632
176	903	628
177	910	623
178	914	618
179	919	612
180	924	607
181	929	602
182	933	597
183	938	591
184	944	586
185	948	581
186	953	576
187	958	571
188	963	565
189	968	560
190	972	555
191	994	559
192	999	554
193	1005	549
194	1010	543
195	1014	538
196	1019	533
197	1024	527
198	1028	522
199	1032	516
200	1037	511
201	1041	505
202	1046	499
203	1051	494
204	1053	488
205	1058	482
206	1062	477
207	1065	471
208	1069	465
209	1074	460
210	1079	455
211	1084	450
212	1089	444
213	1094	439
214	1099	434
215	1103	429
216	1108	424
217	1114	419
218	1119	413
219	1123	408
220	1129	403
221	1135	398
222	1139	393
223	1144	388
224	1149	383
225	1154	377
226	1159	372
227	1164	367
228	1169	362
229	1174	357
230	1178	352
231	1184	347
232	1189	341
233	1194	336
234	1199	331
235	1204	326
236	1209	321
237	1213	316
238	1218	311
239	1223	305
240	1228	300
241	1233	295
242	1238	290
243	1244	285
244	1250	280
245	1255	275
246	1260	270
247	1265	265
248	1270	260
249	1275	255
250	1280	250
251	1285	244
252	1290	239
253	1295	234
254	1300	229
255	1305	224
256	1311	219
257	1315	214
258	1320	208
259	1325	203
260	1330	198
261	1335	193
262	1340	188
263	1345	183
264	1349	178
265	1354	173
266	1359	168
267	1364	162
268	1369	157
269	1374	152
270	1378	147
271	1383	142
272	1388	137
273	1393	132
274	1398	127
275	1403	122
276	1408	116
277	1413	111
278	1417	106
279	1422	101
280	1427	96
281	1432	91
282	1437	86
283	1441	81
284	1446	76
285	1451	71
286	1456	65
287	1461	60
288	1466	55
289	1470	50
290	1475	45
291	1480	40
292	1484	35
293	1489	30
294	1494	25
295	1499	20
296	1504	15
297	1509	10
298	1513	5
299	1518	0
